Line,CPT-4 Code,CPT-4 Procedure
Anesthesia Services,00474,"Anesth, surgery of rib(s)"
Anesthesia Services,00500,"Anesth, esophageal surgery"
Anesthesia Services,00520,"Anesth, chest procedure"
Anesthesia Services,00522,"Anesth, chest lining biopsy"
Anesthesia Services,00524,"Anesth, chest drainage"
Anesthesia Services,00528,"Anesth, chest partition view"
Anesthesia Services,00529,"Anesth, chest partition view"
Anesthesia Services,00530,"Anesth, pacemaker insertion"
Anesthesia Services,00532,"Anesth, vascular access"
Anesthesia Services,00534,"Anesth, cardioverter/defib"
Anesthesia Services,00537,"Anesth, cardiac electrophys"
Anesthesia Services,00539,"Anesth, trach-bronch reconst"
Anesthesia Services,00540,"Anesth, chest surgery"
Anesthesia Services,00541,"Anesth, one lung ventilation"
Anesthesia Services,00542,"Anesth, release of lung"
Anesthesia Services,00544,No Longer Valid
Anesthesia Services,00546,"Anesth, lung,chest wall surg"
Anesthesia Services,00548,"Anesth, trachea,bronchi surg"
Anesthesia Services,00550,"Anesth, sternal debridement"
Anesthesia Services,00560,"Anesth, Heart Surg W/O Pump"
Anesthesia Services,00561,"Anesth, heart surg < age 1"
Anesthesia Services,00562,Anesth hrt surg w/pmp age 1+
Anesthesia Services,00563,"Anesth, Heart Surg W/Arrest"
Anesthesia Services,00566,"Anesth, cabg w/o pump"
Anesthesia Services,00567,"Anesth, cabg w/pump"
Anesthesia Services,00580,"Anesth, heart/lung transplnt"
Anesthesia Services,00600,"Anesth, spine, cord surgery"
Anesthesia Services,00604,"Anesth, sitting procedure"
Anesthesia Services,00620,"Anesth, spine, cord surgery"
Anesthesia Services,00622,"Anesth, removal of nerves"
Anesthesia Services,00625,Anes spine tranthor w/o vent
Anesthesia Services,00626,"Anes, spine transthor w/vent"
Anesthesia Services,00630,"Anesth, spine, cord surgery"
Anesthesia Services,00632,"Anesth, removal of nerves"
Anesthesia Services,00634,Anesth for chemonucleolysis
Anesthesia Services,00635,"Anesth, lumbar puncture"
Anesthesia Services,00640,"Anesth, spine manipulation"
Anesthesia Services,00670,"Anesth, spine, cord surgery"
Anesthesia Services,00700,"Anesth, abdominal wall surg"
Anesthesia Services,00702,"Anesth, for liver biopsy"
Anesthesia Services,00730,"Anesth, abdominal wall surg"
Anesthesia Services,00740,"Anesth, upper gi visualize"
Anesthesia Services,00750,"Anesth, repair of hernia"
Anesthesia Services,00752,"Anesth, repair of hernia"
Anesthesia Services,00754,"Anesth, repair of hernia"
Anesthesia Services,00756,"Anesth, repair of hernia"
Anesthesia Services,00770,"Anesth, blood vessel repair"
Anesthesia Services,00790,"Anesth, surg upper abdomen"
Anesthesia Services,00792,"Anesth, hemorr/excise liver"
Anesthesia Services,00794,"Anesth, pancreas removal"
Anesthesia Services,00796,"Anesth, for liver transplant"
Anesthesia Services,00797,"Anesth, surgery for obesity"
Anesthesia Services,00800,"Anesth, abdominal wall surg"
Anesthesia Services,00802,"Anesth, fat layer removal"
Anesthesia Services,00806,No Longer Valid
Anesthesia Services,00810,"Anesth, low intestine scope"
Anesthesia Services,00820,"Anesth, abdominal wall surg"
Anesthesia Services,00830,"Anesth, repair of hernia"
Anesthesia Services,00832,"Anesth, repair of hernia"
Anesthesia Services,00834,"Anesth, hernia repair< 1 yr"
Anesthesia Services,00836,Anesth hernia repair preemie
Anesthesia Services,00840,"Anesth, surg lower abdomen"
Anesthesia Services,00842,"Anesth, amniocentesis"
Anesthesia Services,00844,"Anesth, pelvis surgery"
Anesthesia Services,00846,"Anesth, hysterectomy"
Anesthesia Services,00848,"Anesth, pelvic organ surg"
Anesthesia Services,00850,No Longer Valid
Anesthesia Services,00851,"Anesth, tubal ligation"
Anesthesia Services,00855,No Longer Valid
Anesthesia Services,00857,No Longer Valid
Anesthesia Services,00860,"Anesth, surgery of abdomen"
Anesthesia Services,00862,"Anesth, kidney/ureter surg"
Anesthesia Services,00864,"Anesth, removal of bladder"
Anesthesia Services,00865,"Anesth, removal of prostate"
Anesthesia Services,00866,"Anesth, removal of adrenal"
Anesthesia Services,00868,"Anesth, kidney transplant"
Anesthesia Services,00869,No Longer Valid
Anesthesia Services,00870,"Anesth, bladder stone surg"
Anesthesia Services,00872,Anesth kidney stone destruct
Anesthesia Services,00873,Anesth kidney stone destruct
Anesthesia Services,00880,"Anesth, abdomen vessel surg"
Anesthesia Services,00882,"Anesth, major vein ligation"
Anesthesia Services,00884,No Longer Valid
Anesthesia Services,00900,No Longer Valid
Anesthesia Services,00902,"Anesth, anorectal surgery"
Anesthesia Services,00904,"Anesth, perineal surgery"
Anesthesia Services,00906,"Anesth, removal of vulva"
Anesthesia Services,00908,"Anesth, removal of prostate"
Anesthesia Services,00910,"Anesth, bladder surgery"
Anesthesia Services,00912,"Anesth, bladder tumor surg"
Anesthesia Services,00914,"Anesth, removal of prostate"
Anesthesia Services,00916,"Anesth, bleeding control"
Anesthesia Services,00918,"Anesth, stone removal"
Anesthesia Services,00920,"Anesth, genitalia surgery"
Anesthesia Services,00921,"Anesth, vasectomy"
Anesthesia Services,00922,"Anesth, sperm duct surgery"
Anesthesia Services,00924,"Anesth, testis exploration"
Anesthesia Services,00926,"Anesth, removal of testis"
Anesthesia Services,00928,"Anesth, removal of testis"
Anesthesia Services,00930,"Anesth, testis suspension"
Anesthesia Services,00932,"Anesth, amputation of penis"
Anesthesia Services,00934,"Anesth, penis, nodes removal"
Anesthesia Services,00936,"Anesth, penis, nodes removal"
Anesthesia Services,00938,"Anesth, insert penis device"
Anesthesia Services,00940,"Anesth, vaginal procedures"
Anesthesia Services,00942,"Anesth, surg on vag/urethral"
Anesthesia Services,00944,"Anesth, vaginal hysterectomy"
Anesthesia Services,00946,No Longer Valid
Anesthesia Services,00948,"Anesth, repair of cervix"
Anesthesia Services,00950,"Anesth, vaginal endoscopy"
Anesthesia Services,00952,"Anesth, hysteroscope/graph"
Anesthesia Services,00955,No Longer Valid
Anesthesia Services,01000,No Longer Valid
Anesthesia Services,01110,No Longer Valid
Anesthesia Services,01112,"Anesth, bone aspirate/bx"
Anesthesia Services,01120,"Anesth, pelvis surgery"
Anesthesia Services,01130,"Anesth, body cast procedure"
Anesthesia Services,01140,"Anesth, amputation at pelvis"
Anesthesia Services,01150,"Anesth, pelvic tumor surgery"
Anesthesia Services,01160,"Anesth, pelvis procedure"
Anesthesia Services,01170,"Anesth, pelvis surgery"
Anesthesia Services,01173,"Anesth, fx repair, pelvis"
Anesthesia Services,01180,"Anesth, pelvis nerve removal"
Anesthesia Services,01190,"Anesth, pelvis nerve removal"
Anesthesia Services,01200,"Anesth, hip joint procedure"
Anesthesia Services,01202,"Anesth, arthroscopy of hip"
Anesthesia Services,01210,"Anesth, hip joint surgery"
Anesthesia Services,01212,"Anesth, hip disarticulation"
Anesthesia Services,01214,"Anesth, hip arthroplasty"
Anesthesia Services,01215,"Anesth, revise hip repair"
Anesthesia Services,01220,"Anesth, procedure on femur"
Anesthesia Services,01230,"Anesth, surgery of femur"
Anesthesia Services,01232,"Anesth, amputation of femur"
Anesthesia Services,01234,"Anesth, radical femur surg"
Anesthesia Services,01240,No Longer Valid
Anesthesia Services,01250,"Anesth, upper leg surgery"
Anesthesia Services,01260,"Anesth, upper leg veins surg"
Anesthesia Services,01270,"Anesth, thigh arteries surg"
Anesthesia Services,01272,"Anesth, femoral artery surg"
Anesthesia Services,01274,"Anesth, femoral embolectomy"
Anesthesia Services,01300,No Longer Valid
Anesthesia Services,01320,"Anesth, knee area surgery"
Anesthesia Services,01340,"Anesth, knee area procedure"
Anesthesia Services,01360,"Anesth, knee area surgery"
Anesthesia Services,01380,"Anesth, knee joint procedure"
Anesthesia Services,01382,"Anesth, dx knee arthroscopy"
Anesthesia Services,01390,"Anesth, knee area procedure"
Anesthesia Services,01392,"Anesth, knee area surgery"
Anesthesia Services,01400,"Anesth, knee joint surgery"
Anesthesia Services,01402,"Anesth, knee arthroplasty"
Anesthesia Services,01404,"Anesth, amputation at knee"
Anesthesia Services,01420,"Anesth, knee joint casting"
Anesthesia Services,01430,"Anesth, knee veins surgery"
Anesthesia Services,01432,"Anesth, knee vessel surg"
Anesthesia Services,01440,"Anesth, knee arteries surg"
Anesthesia Services,01442,"Anesth, knee artery surg"
Anesthesia Services,01444,"Anesth, knee artery repair"
Anesthesia Services,01460,No Longer Valid
Anesthesia Services,01462,"Anesth, lower leg procedure"
Anesthesia Services,01464,"Anesth, ankle/ft arthroscopy"
Anesthesia Services,01470,"Anesth, lower leg surgery"
Anesthesia Services,01472,"Anesth, achilles tendon surg"
Anesthesia Services,01474,"Anesth, lower leg surgery"
Anesthesia Services,01480,"Anesth, lower leg bone surg"
Anesthesia Services,01482,"Anesth, radical leg surgery"
Anesthesia Services,01484,"Anesth, lower leg revision"
Anesthesia Services,01486,"Anesth, ankle replacement"
Anesthesia Services,01490,"Anesth, lower leg casting"
Anesthesia Services,01500,"Anesth, leg arteries surg"
Anesthesia Services,01502,"Anesth, lwr leg embolectomy"
Anesthesia Services,01520,"Anesth, lower leg vein surg"
Anesthesia Services,01522,"Anesth, lower leg vein surg"
Anesthesia Services,01600,No Longer Valid
Anesthesia Services,01610,"Anesth, surgery of shoulder"
Anesthesia Services,01620,"Anesth, shoulder procedure"
Anesthesia Services,01622,Anes dx shoulder arthroscopy
Anesthesia Services,01630,"Anesth, surgery of shoulder"
Anesthesia Services,01632,"Anesth, surgery of shoulder"
Anesthesia Services,01634,"Anesth, shoulder joint amput"
Anesthesia Services,01636,"Anesth, forequarter amput"
Anesthesia Services,01638,"Anesth, shoulder replacement"
Anesthesia Services,01650,"Anesth, shoulder artery surg"
Anesthesia Services,01652,"Anesth, shoulder vessel surg"
Anesthesia Services,01654,"Anesth, shoulder vessel surg"
Anesthesia Services,01656,"Anesth, arm-leg vessel surg"
Anesthesia Services,01670,"Anesth, shoulder vein surg"
Anesthesia Services,01680,"Anesth, shoulder casting"
Anesthesia Services,01682,"Anesth, airplane cast"
Anesthesia Services,01700,No Longer Valid
Anesthesia Services,01710,"Anesth, elbow area surgery"
Anesthesia Services,01712,"Anesth, uppr arm tendon surg"
Anesthesia Services,01714,"Anesth, uppr arm tendon surg"
Anesthesia Services,01716,"Anesth, biceps tendon repair"
Anesthesia Services,01730,"Anesth, uppr arm procedure"
Anesthesia Services,01732,"Anesth, dx elbow arthroscopy"
Anesthesia Services,01740,"Anesth, upper arm surgery"
Anesthesia Services,01742,"Anesth, humerus surgery"
Anesthesia Services,01744,"Anesth, humerus repair"
Anesthesia Services,01756,"Anesth, radical humerus surg"
Anesthesia Services,01758,"Anesth, humeral lesion surg"
Anesthesia Services,01760,"Anesth, elbow replacement"
Anesthesia Services,01770,"Anesth, uppr arm artery surg"
Anesthesia Services,01772,"Anesth, uppr arm embolectomy"
Anesthesia Services,01780,"Anesth, upper arm vein surg"
Anesthesia Services,01782,"Anesth, uppr arm vein repair"
Anesthesia Services,01784,No Longer Valid
Anesthesia Services,01800,No Longer Valid
Anesthesia Services,01810,"Anesth, lower arm surgery"
Anesthesia Services,01820,"Anesth, lower arm procedure"
Anesthesia Services,01829,"Anesth, dx wrist arthroscopy"
Anesthesia Services,01830,"Anesth, lower arm surgery"
Anesthesia Services,01832,"Anesth, wrist replacement"
Anesthesia Services,01840,"Anesth, lwr arm artery surg"
Anesthesia Services,01842,"Anesth, lwr arm embolectomy"
Anesthesia Services,01844,"Anesth, vascular shunt surg"
Anesthesia Services,01850,"Anesth, lower arm vein surg"
Anesthesia Services,01852,"Anesth, lwr arm vein repair"
Anesthesia Services,01860,"Anesth, lower arm casting"
Anesthesia Services,01900,No Longer Valid
Anesthesia Services,01902,No Longer Valid
Anesthesia Services,01904,"No Longer Valid No Longer Valid - 08 Anes, spine inject, x-"
Anesthesia Services,01905,ray/re
Anesthesia Services,01906,No Longer Valid
Anesthesia Services,01908,No Longer Valid
Anesthesia Services,01910,No Longer Valid
Anesthesia Services,01912,No Longer Valid
Anesthesia Services,01914,No Longer Valid
Anesthesia Services,01916,"Anesth, dx arteriography"
Anesthesia Services,01918,No Longer Valid
Anesthesia Services,01920,"Anesth, catheterize heart"
Anesthesia Services,01921,No Longer Valid
Anesthesia Services,01922,"Anesth, cat or MRI scan"
Anesthesia Services,01924,"Anes, ther interven rad, art"
Anesthesia Services,01925,"Anes, ther interven rad, car"
Anesthesia Services,01926,"Anes, tx interv rad hrt/cran"
Anesthesia Services,01930,"Anes, ther interven rad, vei"
Anesthesia Services,01931,"Anes, ther interven rad, tip"
Anesthesia Services,01932,"Anes, tx interv rad, th vein"
Anesthesia Services,01933,"Anes, tx interv rad, cran v"
Anesthesia Services,01935,"Anesth, Perc Img Dx Sp Proc"
Anesthesia Services,01936,"Anesth, Perc Img Tx Sp Proc"
Anesthesia Services,01951,"Anesth, burn, less 4 percent"
Anesthesia Services,01952,"Anesth, burn, 4-9 percent"
Anesthesia Services,01953,"Anesth, burn, each 9 percent"
Anesthesia Services,01958,"Anesth, antepartum manipul"
Anesthesia Services,01960,"Anesth, vaginal delivery"
Anesthesia Services,01961,"Anesth, cs delivery"
Anesthesia Services,01962,"Anesth, emer hysterectomy"
Anesthesia Services,01964,procedures
Anesthesia Services,01965,"Anesth, inc/missed ab proc"
Anesthesia Services,01966,"Anesth, induced ab procedure"
Anesthesia Services,01967,"Anesth/analg, vag delivery"
Anesthesia Services,01968,Anes/analg cs deliver add-on
Anesthesia Services,01969,Anesth/analg cs hyst add-on
Anesthesia Services,01990,Support for organ donor
Anesthesia Services,01991,"Anesth, nerve block/inj"
Anesthesia Services,01992,"Anesth, n block/inj, prone"
Anesthesia Services,01995,No Longer Valid - 07 Regional anesthesia limb
Anesthesia Services,01996,Hosp manage cont drug admin
Anesthesia Services,01999,Unlisted anesth procedure
Surgery - General,10021,FNA w/o image
Surgery - General,10022,FNA w/image
Sys Surgery - Integumentary,10040,Acne surgery
Sys Surgery - Integumentary,10060,Drainage of skin abscess
Sys Surgery - Integumentary,10061,Drainage of skin abscess
Sys Surgery - Integumentary,10080,Drainage of pilonidal cyst
Sys Surgery - Integumentary,10081,Drainage of pilonidal cyst
Sys Surgery - Integumentary,10120,Remove foreign body
Sys Surgery - Integumentary,10121,Remove foreign body
Sys Surgery - Integumentary,10140,Drainage of hematoma/fluid
Sys Surgery - Integumentary,10141,No Longer Valid
Sys Surgery - Integumentary,10160,Puncture drainage of lesion
Sys Surgery - Integumentary,10180,"Complex drainage, wound"
Sys Surgery - Integumentary,11000,Debride infected skin
Sys Surgery - Integumentary,11001,Debride infected skin add-on
Sys Surgery - Integumentary,11004,Debride genitalia & perineum
Sys Surgery - Integumentary,11005,Debride abdom wall
Sys Surgery - Integumentary,11006,Debride genit/per/abdom wall
Sys Surgery - Integumentary,11008,Remove mesh from abd wall
Sys Surgery - Integumentary,11010,"Debride skin, fx"
Sys Surgery - Integumentary,11011,"Debride skin/muscle, fx"
Sys Surgery - Integumentary,11012,"Debride skin/muscle/bone, fx"
Sys Surgery - Integumentary,11040,"Debride skin, partial"
Sys Surgery - Integumentary,11041,"Debride skin, full"
Sys Surgery - Integumentary,11042,Debride skin/tissue
Sys Surgery - Integumentary,11043,Debride tissue/muscle
Sys Surgery - Integumentary,11044,Debride tissue/muscle/bone
Sys Surgery - Integumentary,11050,No Longer Valid
Sys Surgery - Integumentary,11051,No Longer Valid
Sys Surgery - Integumentary,11052,No Longer Valid
Sys Surgery - Integumentary,11055,Trim skin lesion
Sys Surgery - Integumentary,11056,"Trim skin lesions, 2 to 4"
Sys Surgery - Integumentary,11057,"Trim skin lesions, over 4"
Sys Surgery - Integumentary,11060,No Longer Valid
Sys Surgery - Integumentary,11061,No Longer Valid
Sys Surgery - Integumentary,11062,No Longer Valid
Sys Surgery - Integumentary,11100,"Biopsy, skin lesion"
Sys Surgery - Integumentary,11101,"Biopsy, skin add-on"
Sys Surgery - Integumentary,11200,Removal of skin tags
Sys Surgery - Integumentary,11201,Remove skin tags add-on
Sys Surgery - Integumentary,11300,Shave skin lesion
Sys Surgery - Integumentary,11301,Shave skin lesion
Sys Surgery - Integumentary,11302,Shave skin lesion
Sys Surgery - Integumentary,11303,Shave skin lesion
Sys Surgery - Integumentary,11305,Shave skin lesion
Sys Surgery - Integumentary,11306,Shave skin lesion
Sys Surgery - Integumentary,11307,Shave skin lesion
Sys Surgery - Integumentary,11308,Shave skin lesion
Sys Surgery - Integumentary,11310,Shave skin lesion
Sys Surgery - Integumentary,11311,Shave skin lesion
Sys Surgery - Integumentary,11312,Shave skin lesion
Sys Surgery - Integumentary,11313,Shave skin lesion
Sys Surgery - Integumentary,11400,Exc tr-ext b9+marg 0.5 < cm
Sys Surgery - Integumentary,11401,Exc tr-ext b9+marg 0.6-1 cm
Sys Surgery - Integumentary,11402,Exc tr-ext b9+marg 1.1-2 cm
Sys Surgery - Integumentary,11403,Exc tr-ext b9+marg 2.1-3 cm
Sys Surgery - Integumentary,11404,Exc tr-ext b9+marg 3.1-4 cm
Sys Surgery - Integumentary,11406,Exc tr-ext b9+marg > 4.0 cm
Sys Surgery - Integumentary,11420,Exc h-f-nk-sp b9+marg 0.5 <
Sys Surgery - Integumentary,11421,Exc h-f-nk-sp b9+marg 0.6-1
Sys Surgery - Integumentary,11422,Exc h-f-nk-sp b9+marg 1.1-2
Sys Surgery - Integumentary,11423,Exc h-f-nk-sp b9+marg 2.1-3
Sys Surgery - Integumentary,11424,Exc h-f-nk-sp b9+marg 3.1-4
Sys Surgery - Integumentary,11426,Exc h-f-nk-sp b9+marg > 4 cm
Sys Surgery - Integumentary,11440,Exc face-mm b9+marg 0.5 < cm
Sys Surgery - Integumentary,11441,Exc face-mm b9+marg 0.6-1 cm
Sys Surgery - Integumentary,11442,Exc face-mm b9+marg 1.1-2 cm
Sys Surgery - Integumentary,11443,Exc face-mm b9+marg 2.1-3 cm
Sys Surgery - Integumentary,11444,Exc face-mm b9+marg 3.1-4 cm
Sys Surgery - Integumentary,11446,Exc face-mm b9+marg > 4 cm
Sys Surgery - Integumentary,11450,"Removal, sweat gland lesion"
Sys Surgery - Integumentary,11451,"Removal, sweat gland lesion"
Sys Surgery - Integumentary,11462,"Removal, sweat gland lesion"
Sys Surgery - Integumentary,11463,"Removal, sweat gland lesion"
Sys Surgery - Integumentary,11470,"Removal, sweat gland lesion"
Sys Surgery - Integumentary,11471,"Removal, sweat gland lesion"
Sys Surgery - Integumentary,11600,Exc tr-ext mlg+marg 0.5 < cm
Sys Surgery - Integumentary,11601,Exc tr-ext mlg+marg 0.6-1 cm
Sys Surgery - Integumentary,11602,Exc tr-ext mlg+marg 1.1-2 cm
Sys Surgery - Integumentary,11603,Exc tr-ext mlg+marg 2.1-3 cm
Sys Surgery - Integumentary,11604,Exc tr-ext mlg+marg 3.1-4 cm
Sys Surgery - Integumentary,11606,Exc tr-ext mlg+marg > 4 cm
Sys Surgery - Integumentary,11620,Exc h-f-nk-sp mlg+marg 0.5 <
Sys Surgery - Integumentary,11621,Exc h-f-nk-sp mlg+marg 0.6-1
Sys Surgery - Integumentary,11622,Exc h-f-nk-sp mlg+marg 1.1-2
Sys Surgery - Integumentary,11623,Exc h-f-nk-sp mlg+marg 2.1-3
Sys Surgery - Integumentary,11624,Exc h-f-nk-sp mlg+marg 3.1-4
Sys Surgery - Integumentary,11626,Exc h-f-nk-sp mlg+mar > 4 cm
Sys Surgery - Integumentary,11640,Exc face-mm malig+marg 0.5 <
Sys Surgery - Integumentary,11641,Exc face-mm malig+marg 0.6-1
Sys Surgery - Integumentary,11642,Exc face-mm malig+marg 1.1-2
Sys Surgery - Integumentary,11643,Exc face-mm malig+marg 2.1-3
Sys Surgery - Integumentary,11644,Exc face-mm malig+marg 3.1-4
Sys Surgery - Integumentary,11646,Exc face-mm mlg+marg > 4 cm
Sys Surgery - Integumentary,11700,No Longer Valid
Sys Surgery - Integumentary,11701,No Longer Valid
Sys Surgery - Integumentary,11710,No Longer Valid
Sys Surgery - Integumentary,11711,No Longer Valid
Sys Surgery - Integumentary,11719,Trim nail(s)
Sys Surgery - Integumentary,11720,"Debride nail, 1-5"
Sys Surgery - Integumentary,11721,"Debride nail, 6 or more"
Sys Surgery - Integumentary,11730,Removal of nail plate
Sys Surgery - Integumentary,11731,No Longer Valid
Sys Surgery - Integumentary,11732,"Remove nail plate, add-on"
Sys Surgery - Integumentary,11740,Drain blood from under nail
Sys Surgery - Integumentary,11750,Removal of nail bed
Sys Surgery - Integumentary,11752,Remove nail bed/finger tip
Sys Surgery - Integumentary,11755,"Biopsy, nail unit"
Sys Surgery - Integumentary,11760,Repair of nail bed
Sys Surgery - Integumentary,11762,Reconstruction of nail bed
Sys Surgery - Integumentary,11765,"Excision of nail fold, toe"
Sys Surgery - Integumentary,11770,Removal of pilonidal lesion
Sys Surgery - Integumentary,11771,Removal of pilonidal lesion
Sys Surgery - Integumentary,11772,Removal of pilonidal lesion
Sys Surgery - Integumentary,11900,Injection into skin lesions
Sys Surgery - Integumentary,11901,Added skin lesions injection
Sys Surgery - Integumentary,11920,Correct skin color defects
Sys Surgery - Integumentary,11921,Correct skin color defects
Sys Surgery - Integumentary,11922,Correct skin color defects
Sys Surgery - Integumentary,11950,Therapy for contour defects
Sys Surgery - Integumentary,11951,Therapy for contour defects
Sys Surgery - Integumentary,11952,Therapy for contour defects
Sys Surgery - Integumentary,11954,Therapy for contour defects
Sys Surgery - Integumentary,11960,Insert tissue expander(s)
Sys Surgery - Integumentary,11970,Replace tissue expander
Sys Surgery - Integumentary,11971,Remove tissue expander(s)
Sys Surgery - Integumentary,11975,Insert contraceptive cap
Sys Surgery - Integumentary,11976,Removal of contraceptive cap
Sys Surgery - Integumentary,11977,Removal/reinsert contra cap
Sys Surgery - Integumentary,11980,Implant hormone pellet(s)
Sys Surgery - Integumentary,11981,Insert drug implant device
Sys Surgery - Integumentary,11982,Remove drug implant device
Sys Surgery - Integumentary,11983,Remove/insert drug implant
Sys Surgery - Integumentary,12001,Repair superficial wound(s)
Sys Surgery - Integumentary,12002,Repair superficial wound(s)
Sys Surgery - Integumentary,12004,Repair superficial wound(s)
Sys Surgery - Integumentary,12005,Repair superficial wound(s)
Sys Surgery - Integumentary,12006,Repair superficial wound(s)
Sys Surgery - Integumentary,12007,Repair superficial wound(s)
Sys Surgery - Integumentary,12011,Repair superficial wound(s)
Sys Surgery - Integumentary,12013,Repair superficial wound(s)
Sys Surgery - Integumentary,12014,Repair superficial wound(s)
Sys Surgery - Integumentary,12015,Repair superficial wound(s)
Sys Surgery - Integumentary,12016,Repair superficial wound(s)
Sys Surgery - Integumentary,12017,Repair superficial wound(s)
Sys Surgery - Integumentary,12018,Repair superficial wound(s)
Sys Surgery - Integumentary,12020,Closure of split wound
Sys Surgery - Integumentary,12021,Closure of split wound
Sys Surgery - Integumentary,12031,Intmd wnd repair s/tr/ext
Sys Surgery - Integumentary,12032,Intmd wnd repair s/tr/ext
Sys Surgery - Integumentary,12034,Intmd wnd repair s/tr/ext
Sys Surgery - Integumentary,12035,Intmd wnd repair s/tr/ext
Sys Surgery - Integumentary,12036,Intmd wnd repair s/tr/ext
Sys Surgery - Integumentary,12037,Intmd wnd repair s/tr/ext
Sys Surgery - Integumentary,12041,Intmd wnd repair n-hf/genit
Sys Surgery - Integumentary,12042,Intmd wnd repair n-hg/genit
Sys Surgery - Integumentary,12044,Intmd wnd repair n-hg/genit
Sys Surgery - Integumentary,12045,Intmd wnd repair n-hg/genit
Sys Surgery - Integumentary,12046,Intmd wnd repair n-hg/genit
Sys Surgery - Integumentary,12047,Intmd wnd repair n-hg/genit
Sys Surgery - Integumentary,12051,Intmd wnd repair face/mm
Sys Surgery - Integumentary,12052,Intmd wnd repair face/mm
Sys Surgery - Integumentary,12053,Intmd wnd repair face/mm
Sys Surgery - Integumentary,12054,"Intmd wnd repair, face/mm"
Sys Surgery - Integumentary,12055,Intmd wnd repair face/mm
Sys Surgery - Integumentary,12056,Intmd wnd repair face/mm
Sys Surgery - Integumentary,12057,Intmd wnd repair face/mm
Sys Surgery - Integumentary,13100,Repair of wound or lesion
Sys Surgery - Integumentary,13101,Repair of wound or lesion
Sys Surgery - Integumentary,13102,Repair wound/lesion add-on
Sys Surgery - Integumentary,13120,Repair of wound or lesion
Sys Surgery - Integumentary,13121,Repair of wound or lesion
Sys Surgery - Integumentary,13122,Repair wound/lesion add-on
Sys Surgery - Integumentary,13131,Repair of wound or lesion
Sys Surgery - Integumentary,13132,Repair of wound or lesion
Sys Surgery - Integumentary,13133,Repair wound/lesion add-on
Sys Surgery - Integumentary,13150,Repair of wound or lesion
Sys Surgery - Integumentary,13151,Repair of wound or lesion
Sys Surgery - Integumentary,13152,Repair of wound or lesion
Sys Surgery - Integumentary,13153,Repair wound/lesion add-on
Sys Surgery - Integumentary,13160,Late closure of wound
Sys Surgery - Integumentary,13300,No Longer Valid
Sys Surgery - Integumentary,14000,Skin tissue rearrangement
Sys Surgery - Integumentary,14001,Skin tissue rearrangement
Sys Surgery - Integumentary,14020,Skin tissue rearrangement
Sys Surgery - Integumentary,14021,Skin tissue rearrangement
Sys Surgery - Integumentary,14040,Skin tissue rearrangement
